city,date,no2,no2_e4,pm25,temp_c,wind_ms,precip_mm,n_days,no2_obs,pm25_obs
Bahawalpur,2019-01-06,4.090586224976995e-05,0.40905862249769953,140.0761665266497,14.378463783985836,1.9973554322346523,0.06232257499223257,6,6,6
Bahawalpur,2019-01-13,3.3101107748652076e-05,0.33101107748652076,128.11248371674583,14.371819938978124,1.726705205200798,0.14043536039914864,7,6,7
Bahawalpur,2019-01-20,3.4630182235171634e-05,0.3463018223517163,120.02416126252805,14.921742947658158,1.7500778609358214,0.2594316948942006,7,7,7
Bahawalpur,2019-01-27,2.7269807267893838e-05,0.27269807267893836,105.72603337798675,12.41046224732813,1.25519590003952,0.8549764706495273,7,6,7
Bahawalpur,2019-02-03,2.5874491849936173e-05,0.2587449184993617,106.18165887719194,13.347812543988425,2.297002754239018,0.3272857545944685,7,5,7
Bahawalpur,2019-02-10,2.6894905072063574e-05,0.26894905072063574,84.04441312726684,14.015352519465532,1.2852932249739233,1.0821975172278044,7,6,7
Bahawalpur,2019-02-17,2.6852998519628407e-05,0.26852998519628407,93.03842704416836,15.93184591535729,1.7965628821382658,0.11940446508949996,7,6,7
Bahawalpur,2019-02-24,2.2027446767971296e-05,0.22027446767971295,78.4970947449855,15.412513440518167,1.7138125156595894,3.594428100276233,7,5,7
Bahawalpur,2019-03-03,2.56438364185039e-05,0.25643836418503896,79.56302766175345,15.305722458043476,2.0094428450067547,1.457980811858706,7,5,7
Bahawalpur,2019-03-10,2.756907614582443e-05,0.27569076145824434,86.95675610287546,17.574030992304365,1.2114710840901062,1.4208730877886144,7,7,7
Bahawalpur,2019-03-17,2.3612549859090057e-05,0.23612549859090054,79.19872789360927,18.278948559564437,1.652722847749024,0.18104222978278917,7,7,7
Bahawalpur,2019-03-24,2.7149808979719927e-05,0.2714980897971993,91.0970300055326,21.77343261047367,2.062276394853087,0.054334829720866624,7,6,7
Bahawalpur,2019-03-31,2.8125050165330985e-05,0.2812505016533099,103.71048140652253,26.163843963823474,1.787658746104952,0.009527425319550703,7,7,7
Bahawalpur,2019-04-07,2.765760516206297e-05,0.27657605162062965,88.03864482919514,29.183369095132946,1.0440663836751276,0.15975699264661394,7,7,7
Bahawalpur,2019-04-14,3.181516296681634e-05,0.3181516296681634,90.30861843713231,28.977534177284376,2.7001688077008983,0.31748106919098623,7,7,7
Bahawalpur,2019-04-21,3.929156327188646e-05,0.3929156327188646,80.10708763893504,25.881169327319054,1.230867120846352,0.7078286214069932,7,7,7
Bahawalpur,2019-04-28,4.6712022669230014e-05,0.46712022669230013,96.51400713288334,31.937066228695755,1.8694841897655274,0.04514954484276019,7,7,7
Bahawalpur,2019-05-05,4.64952295182839e-05,0.464952295182839,86.5205041608609,31.722623442367574,2.486384268507316,0.1071837234062116,7,7,7
Bahawalpur,2019-05-12,5.278384394721544e-05,0.5278384394721545,126.70868788671335,32.531415573717496,1.820559954200998,0.9658259359207039,7,7,7
Bahawalpur,2019-05-19,3.3836022161662085e-05,0.3383602216166208,121.58374272526927,30.15888636072687,1.0230793982807815,2.3474643610104846,7,7,7
Bahawalpur,2019-05-26,3.851277106274592e-05,0.38512771062745915,91.24152802957379,32.05506320943904,1.029124074113229,0.6485288347702483,7,7,7
Bahawalpur,2019-06-02,3.739561913994484e-05,0.37395619139944847,78.83165989175443,36.130954130686185,1.5486390046626404,0.0013564143351515953,7,7,7
Bahawalpur,2019-06-09,2.9546689207886e-05,0.29546689207886,74.81769307623206,36.195159643622176,1.4634130264867553,0.0005482289081117245,7,7,7
Bahawalpur,2019-06-16,3.15915250797842e-05,0.315915250797842,130.62868760387298,36.60747575953267,3.439628567865327,0.005425734384341967,7,7,7
Bahawalpur,2019-06-23,4.193918424396595e-05,0.41939184243965943,115.82100972287513,34.57490101199124,1.475826883408925,0.4863302873160948,7,7,7
Bahawalpur,2019-06-30,3.9612358469069084e-05,0.3961235846906908,133.78516886883008,35.675634101379465,1.9272432262925947,0.1908201592928948,7,6,7
Bahawalpur,2019-07-07,3.81522037645726e-05,0.381522037645726,128.61454718835734,37.09929928403925,1.7007145103024828,0.012934183140633429,7,7,7
Bahawalpur,2019-07-14,2.498326651412898e-05,0.24983266514128982,136.24427763440062,36.0742759911805,4.56549400473913,0.0008003720917505686,7,7,7
Bahawalpur,2019-07-21,3.8417555550995223e-05,0.38417555550995225,33.87121598171608,33.27902188181038,1.8215302895407817,2.3056911336686587,7,6,7
Bahawalpur,2019-07-28,3.819195890431364e-05,0.38191958904313644,35.20591404169736,34.221069306045976,2.46383594321143,2.182102517741584,7,7,7
Bahawalpur,2019-08-04,3.7942772583415236e-05,0.3794277258341524,22.675666587882283,32.3342655930439,1.6656076195204104,4.54752567143585,7,7,7
Bahawalpur,2019-08-11,3.550583970466335e-05,0.35505839704663356,27.690917956681762,32.89575643575153,1.9285195889773814,3.3384065642676295,7,7,7
Bahawalpur,2019-08-18,2.9444124347722323e-05,0.2944412434772232,25.09539710864062,32.25004457975335,2.0080142104236516,2.3197299914181353,7,7,7
Bahawalpur,2019-08-25,2.9683527004445292e-05,0.2968352700444529,27.697799266438754,33.64942652640069,1.903273697855082,0.7772118694077748,7,7,7
Bahawalpur,2019-09-01,3.086331008787851e-05,0.3086331008787851,27.48215355713308,32.828902617786994,1.4630327127314213,2.940396045184797,7,7,7
Bahawalpur,2019-09-08,2.9467490467005725e-05,0.29467490467005725,23.467721029630614,33.63673638559394,1.6762568757956553,2.8576491389593173,7,7,7
Bahawalpur,2019-09-15,3.3465208339334715e-05,0.3346520833933471,44.252946846422105,34.98682078771075,2.065141717132709,0.0002448047610974819,7,7,7
Bahawalpur,2019-09-22,2.958299050927972e-05,0.29582990509279716,43.01176296247683,33.04512069683701,2.0672783195171562,0.05145679290984627,7,7,7
Bahawalpur,2019-09-29,2.792070764301048e-05,0.2792070764301048,28.240172201724743,31.753838272912276,1.9681777095453004,2.417666144627813,7,7,7
Bahawalpur,2019-10-06,2.8617512045891762e-05,0.28617512045891763,41.13393269227338,26.276889250142183,1.0150250993443397,3.874356093844189,7,6,7
Bahawalpur,2019-10-13,3.0823927692441034e-05,0.30823927692441033,44.99661319692694,26.706559573453855,1.0017035221397854,0.14503660273983474,7,7,7
Bahawalpur,2019-10-20,3.434476866237128e-05,0.3434476866237128,58.496946103312425,26.657197213133347,1.7067241998176048,0.05560229234242843,7,7,7
