city,date,no2,no2_e4,pm25,temp_c,wind_ms,precip_mm,n_days,no2_obs,pm25_obs
Bahawalpur,2019-01-01,3.304212701782346e-05,0.33042127017823464,122.93402834813882,13.959785393521724,1.7479879350441805,0.3692155836959967,31,27,31
Bahawalpur,2019-02-01,2.5567120834596158e-05,0.2556712083459616,83.41159905418098,14.86751905606508,1.6717781450152889,1.2128072860615318,28,24,28
Bahawalpur,2019-03-01,2.687805334052864e-05,0.26878053340528646,89.9041746257643,20.44450319024007,1.7685249797918141,0.6930023412536925,31,28,31
Bahawalpur,2019-04-01,3.690281698502038e-05,0.36902816985020376,89.20100254583207,29.25084318271512,1.7763156403134048,0.3081491385935728,30,30,30
Bahawalpur,2019-05-01,4.1594851580208065e-05,0.41594851580208064,102.23954187069232,32.2161053738612,1.5210599818072246,0.8986537698261564,31,31,31
Bahawalpur,2019-06-01,3.6006548665439376e-05,0.36006548665439375,111.96311352208235,35.83980674540378,2.032235523173974,0.1594386109867715,30,29,30
Bahawalpur,2019-07-01,3.423305498068555e-05,0.34233054980685546,77.78210625678764,34.849270013340266,2.563942461741935,1.8128259452162583,31,30,31
Bahawalpur,2019-08-01,3.306556721719428e-05,0.33065567217194275,26.639279809015182,32.92024379890991,1.7998629423703982,2.1287118729523695,31,31,31
Bahawalpur,2019-09-01,3.0245377631796753e-05,0.3024537763179675,33.97367132499045,33.12695095462338,1.878175491148361,1.5429855878124308,30,30,30
Bahawalpur,2019-10-01,3.216046750598655e-05,0.3216046750598655,55.28980697038879,26.27312357222157,1.2237288883224324,0.8490352072268736,31,30,31
Bahawalpur,2019-11-01,3.654577724401046e-05,0.36545777244010463,56.169598761614914,19.84588252615253,1.9408399832847631,1.0206059764907611,30,27,30
Bahawalpur,2019-12-01,3.366946554188613e-05,0.3366946554188613,82.67343653319915,13.727970378706894,1.4357897680208438,0.33503398962116465,31,27,31
Bahawalpur,2020-01-01,3.0410778524653722e-05,0.30410778524653725,55.97041583377653,12.600747843620741,1.7306235171546291,0.8540117846692965,31,26,31
Bahawalpur,2020-02-01,2.8174543190997887e-05,0.28174543190997886,49.158841743898364,17.650270224841265,1.9488429756163124,0.017184715815136968,29,29,29
Bahawalpur,2020-03-01,2.5307581747378853e-05,0.2530758174737885,34.111372590028864,20.290782866545996,2.014341588012884,1.908177975997139,31,28,31
Bahawalpur,2020-04-01,3.280468067354873e-05,0.32804680673548725,34.46687517001352,28.090411053012648,1.6925544560294072,0.17488861903111236,30,28,30
Bahawalpur,2020-05-01,4.304190119192433e-05,0.43041901191924326,37.82829652329698,32.721697034858586,1.900335873145634,0.24550392676800759,31,31,31
Bahawalpur,2020-06-01,3.076693501538365e-05,0.3076693501538365,25.611220182547363,35.66040716842641,2.000200853014433,0.13026242372964986,30,30,30
Bahawalpur,2020-07-01,3.462619358511208e-05,0.3462619358511208,24.28078752327157,35.71326457212652,2.8014202660224035,0.3201584698440853,31,30,31
Bahawalpur,2020-08-01,2.9240703397501643e-05,0.29240703397501644,19.153660593450578,33.65484883067948,2.7399233495883055,2.1589834264330863,31,28,31
Bahawalpur,2020-09-01,2.8023964715715247e-05,0.28023964715715244,28.079959146387523,31.344738602092246,1.856288180980229,1.3103549202905225,30,28,30
Bahawalpur,2020-10-01,3.308468490130599e-05,0.33084684901305983,54.02767877729806,26.815487894719496,1.4090444295223408,0.0006793421974064427,31,31,31
Bahawalpur,2020-11-01,3.4586855074950973e-05,0.3458685507495098,72.8897641846935,19.601695303198266,1.68209896841252,0.10815295304143333,30,29,30
Bahawalpur,2020-12-01,3.533274053625662e-05,0.35332740536256624,82.31551530246921,15.177278976011873,1.444564678224331,0.1118961813610894,31,31,31
Bahawalpur,2021-01-01,3.4572569966991254e-05,0.3457256996699125,85.29481111980358,13.427598246408559,1.5874407349058441,0.016771156441363226,31,28,31
Bahawalpur,2021-02-01,2.879978234999406e-05,0.2879978234999406,70.78314386922526,19.300737469159372,1.6870550574474685,0.009574131333129952,28,28,28
Bahawalpur,2021-03-01,2.8321142265156858e-05,0.28321142265156857,55.664449067933575,24.203381920309415,1.9625208503875398,0.13019075601320698,31,31,31
Bahawalpur,2021-04-01,4.055801397984104e-05,0.40558013979841046,38.49837376717224,27.77517565293146,2.013384568737876,0.4207089298507084,30,29,30
Bahawalpur,2021-05-01,3.6916628998571195e-05,0.36916628998571194,37.090520098967026,32.530456569870914,1.6289544475047526,0.268346165065632,31,31,31
Bahawalpur,2021-06-01,3.414055342556051e-05,0.3414055342556051,30.220631496744762,34.77970764922476,2.1283760247257018,0.1138113468806657,30,30,30
Bahawalpur,2021-07-01,3.316575345575348e-05,0.3316575345575348,27.51363686136556,35.0338773832631,2.797683787157061,0.3352880755777101,31,31,31
Bahawalpur,2021-08-01,2.883529012172345e-05,0.28835290121723445,26.42579685013866,33.54878273864791,2.4818542255314004,0.13671659179171333,31,31,31
Bahawalpur,2021-09-01,3.557472405954667e-05,0.35574724059546664,24.176893815010136,31.47600874084374,2.1862129361215428,0.9957758075926999,30,30,30
Bahawalpur,2021-10-01,3.7874488370792534e-05,0.37874488370792536,42.99023482694702,27.348685020381797,2.151879495659179,0.036276911948216126,31,31,31
Bahawalpur,2021-11-01,4.083870718677991e-05,0.40838707186779905,86.63872447297808,20.61713962329149,1.546864479156915,0.0011147468202447153,30,30,30
Bahawalpur,2021-12-01,3.492440806677497e-05,0.3492440806677497,81.00437832740285,15.071769377382303,1.3134796198864047,0.07519805460019048,31,30,31
Bahawalpur,2022-01-01,3.1464489470184465e-05,0.31464489470184465,65.06054065495302,13.349790898503894,1.358177094834404,0.5033003557858704,31,28,31
Bahawalpur,2022-02-01,3.2862631083736286e-05,0.3286263108373629,50.90637081344675,17.330580900640612,1.7306498018842562,0.03404793890361015,28,27,28
Bahawalpur,2022-03-01,3.709601465329883e-05,0.37096014653298837,47.72277936869548,25.504296543688813,1.5650695545473825,0.10270778080762998,31,29,31
Bahawalpur,2022-04-01,4.578079207889549e-05,0.457807920788955,33.52519586102045,31.8343468054033,1.403379095048001,0.05322591135412174,30,30,30
Bahawalpur,2022-05-01,3.984244378613519e-05,0.3984244378613519,32.76737108165534,35.36306001058832,2.12860912810636,0.01870753830979792,31,30,31
Bahawalpur,2022-06-01,3.7283300899957344e-05,0.37283300899957345,27.349843613734965,34.41059566295512,3.086905819353814,1.6234304252527025,30,30,30
Bahawalpur,2022-07-01,3.482492584229074e-05,0.3482492584229075,20.227118587030652,31.290346036578264,2.2228361463421384,6.551160357184035,31,27,31
Bahawalpur,2022-08-01,3.0231151164457558e-05,0.3023115116445756,20.21391100055201,29.863371533218874,2.578961357521343,1.9422997075695434,31,28,31
Bahawalpur,2022-09-01,3.333221812029505e-05,0.3333221812029505,30.07727981884642,31.479476470228423,2.0924101373966746,0.048825489361530264,30,30,30
Bahawalpur,2022-10-01,3.661000136748445e-05,0.36610001367484446,44.85250981954681,27.336224848091206,1.5325611033508042,0.0008965465335463654,31,31,31
Bahawalpur,2022-11-01,4.219389822525298e-05,0.4219389822525298,62.40399369190423,21.527874377315708,1.4527200568247285,0.07302804873139498,30,29,30
Bahawalpur,2022-12-01,3.3597011435225336e-05,0.3359701143522534,74.75127278077709,16.089486017514407,1.4345892273770284,0.039282672442461586,31,29,31
Bahawalpur,2023-01-01,3.254333743016933e-05,0.32543337430169333,61.21074973051574,12.602834162400647,1.6599291158697878,0.027730797421391694,31,28,31
Bahawalpur,2023-02-01,3.3094506508747805e-05,0.33094506508747806,54.93838184378319,19.656296192308947,1.5947084170611245,0.0025845493459617425,28,28,28
