city,date,no2
Lahore,2020-01-01,8.930110494807548E-5
Karachi,2020-01-01,5.6489817881433675E-5
Islamabad,2020-01-01,2.243529170402842E-4
Faisalabad,2020-01-01,1.941208117380229E-4
Rawalpindi,2020-01-01,2.538456165599917E-4
Multan,2020-01-01,7.636257044335306E-5
Peshawar,2020-01-01,4.9587107954307153E-5
Gujranwala,2020-01-01,6.0498648445208555E-5
Quetta,2020-01-01,9.495439437470161E-6
Sialkot,2020-01-01,2.7519432793319105E-5
Hyderabad,2020-01-01,3.940569544777621E-5
Bahawalpur,2020-01-01,2.7951381463447656E-5
Sargodha,2020-01-01,
Sukkur,2020-01-01,3.0817978383872664E-5
Larkana,2020-01-01,2.3867262271469798E-5
Lahore,2020-01-02,5.535418324292421E-5
Karachi,2020-01-02,8.534724119521348E-5
Islamabad,2020-01-02,6.738410058469466E-5
Faisalabad,2020-01-02,9.830876413406815E-5
Rawalpindi,2020-01-02,1.109570802030344E-4
Multan,2020-01-02,3.527316058499807E-5
Peshawar,2020-01-02,3.6233625004880895E-5
Gujranwala,2020-01-02,
Quetta,2020-01-02,1.0179025088963642E-5
Sialkot,2020-01-02,1.3771028619907324E-5
Hyderabad,2020-01-02,3.476625119370441E-5
Bahawalpur,2020-01-02,4.060418603953684E-5
Sargodha,2020-01-02,2.4976980972771116E-5
Sukkur,2020-01-02,
Larkana,2020-01-02,2.886224177714257E-5
Lahore,2020-01-03,1.800749871210085E-4
Karachi,2020-01-03,9.393727186097777E-5
Islamabad,2020-01-03,
Faisalabad,2020-01-03,4.60621591041344E-5
Rawalpindi,2020-01-03,
Multan,2020-01-03,4.215987193206521E-5
Peshawar,2020-01-03,2.1151055767226846E-5
Gujranwala,2020-01-03,6.184077919821736E-5
Quetta,2020-01-03,1.8662821350311364E-5
Sialkot,2020-01-03,3.623231138827199E-5
Hyderabad,2020-01-03,2.4649829499994646E-5
Bahawalpur,2020-01-03,3.8285306944795844E-5
Sargodha,2020-01-03,3.60862925453592E-5
Sukkur,2020-01-03,2.154492717888886E-5
