city,date,no2
Lahore,2022-01-01,4.1171081796471406E-4
Karachi,2022-01-01,1.4013209068180834E-4
Islamabad,2022-01-01,
Faisalabad,2022-01-01,5.72946709137841E-5
Rawalpindi,2022-01-01,
Multan,2022-01-01,4.567941959436461E-5
Peshawar,2022-01-01,
Gujranwala,2022-01-01,1.0304799984254775E-4
Quetta,2022-01-01,
Sialkot,2022-01-01,3.1512782711776726E-5
Hyderabad,2022-01-01,3.797648453854611E-5
Bahawalpur,2022-01-01,2.481236000762227E-5
Sargodha,2022-01-01,5.041114797296745E-5
Sukkur,2022-01-01,3.543359080925937E-5
Larkana,2022-01-01,3.120102177462608E-5
Lahore,2022-01-02,2.2166080371932375E-4
Karachi,2022-01-02,9.122353558443827E-5
Islamabad,2022-01-02,1.0379737333828586E-4
Faisalabad,2022-01-02,8.464672868443754E-5
Rawalpindi,2022-01-02,1.0860276885184885E-4
Multan,2022-01-02,9.216863851890819E-5
Peshawar,2022-01-02,4.3418461305986117E-5
Gujranwala,2022-01-02,8.015821981080572E-5
Quetta,2022-01-02,2.919810852447205E-5
Sialkot,2022-01-02,7.185577738581728E-5
Hyderabad,2022-01-02,3.5290749961092356E-5
Bahawalpur,2022-01-02,4.348773777117906E-5
Sargodha,2022-01-02,5.0900117178625524E-5
Sukkur,2022-01-02,4.716342517907934E-5
Larkana,2022-01-02,3.10742558985314E-5
Lahore,2022-01-03,2.1849119773547677E-4
Karachi,2022-01-03,5.693658031025515E-5
Islamabad,2022-01-03,
Faisalabad,2022-01-03,8.91045626956413E-5
Rawalpindi,2022-01-03,
Multan,2022-01-03,
Peshawar,2022-01-03,
Gujranwala,2022-01-03,
Quetta,2022-01-03,
Sialkot,2022-01-03,
Hyderabad,2022-01-03,2.548597413511069E-5
Bahawalpur,2022-01-03,4.190140787900748E-5
Sargodha,2022-01-03,8.054728187397269E-5
Sukkur,2022-01-03,4.812145907742671E-5
Larkana,2022-01-03,4.755838738030855E-5
Lahore,2022-01-04,
Karachi,2022-01-04,
Islamabad,2022-01-04,
Faisalabad,2022-01-04,4.8700257438452986E-5
Rawalpindi,2022-01-04,
Multan,2022-01-04,5.6041512754845576E-5
Peshawar,2022-01-04,
Gujranwala,2022-01-04,
Quetta,2022-01-04,
Sialkot,2022-01-04,
Hyderabad,2022-01-04,
Bahawalpur,2022-01-04,4.192695220397338E-5
Sargodha,2022-01-04,6.436992025191714E-5
Sukkur,2022-01-04,
Larkana,2022-01-04,
Lahore,2022-01-05,
Karachi,2022-01-05,1.060561525557458E-4
Islamabad,2022-01-05,
Faisalabad,2022-01-05,
Rawalpindi,2022-01-05,
Multan,2022-01-05,
Peshawar,2022-01-05,
Gujranwala,2022-01-05,
Quetta,2022-01-05,9.86068861064216E-6
Sialkot,2022-01-05,
Hyderabad,2022-01-05,4.452807945922503E-5
Bahawalpur,2022-01-05,
Sargodha,2022-01-05,
Sukkur,2022-01-05,
Larkana,2022-01-05,
Lahore,2022-01-06,
Karachi,2022-01-06,
Islamabad,2022-01-06,
Faisalabad,2022-01-06,
Rawalpindi,2022-01-06,
Multan,2022-01-06,
Peshawar,2022-01-06,
Gujranwala,2022-01-06,
Quetta,2022-01-06,-6.142899427353293E-7
Sialkot,2022-01-06,
Hyderabad,2022-01-06,
Bahawalpur,2022-01-06,1.4317905807264263E-5
Sargodha,2022-01-06,
Sukkur,2022-01-06,2.0080872452051848E-5
Larkana,2022-01-06,1.748987532069624E-5
Lahore,2022-01-07,
Karachi,2022-01-07,7.57721453723081E-5
Islamabad,2022-01-07,
Faisalabad,2022-01-07,
Rawalpindi,2022-01-07,
Multan,2022-01-07,
Peshawar,2022-01-07,
Gujranwala,2022-01-07,
Quetta,2022-01-07,8.77908862188984E-6
Sialkot,2022-01-07,
Hyderabad,2022-01-07,2.3343521950283646E-5
Bahawalpur,2022-01-07,
Sargodha,2022-01-07,
Sukkur,2022-01-07,
Larkana,2022-01-07,
Lahore,2022-01-08,5.8818774916266956E-5
Karachi,2022-01-08,9.995158277776269E-5
Islamabad,2022-01-08,3.60623389439929E-5
Faisalabad,2022-01-08,
Rawalpindi,2022-01-08,3.404851917196303E-5
Multan,2022-01-08,3.846271465949029E-5
Peshawar,2022-01-08,
Gujranwala,2022-01-08,
Quetta,2022-01-08,4.275930039533079E-6
Sialkot,2022-01-08,
Hyderabad,2022-01-08,4.153994722535491E-5
Bahawalpur,2022-01-08,2.2676471755171316E-5
Sargodha,2022-01-08,1.3151384192015392E-5
Sukkur,2022-01-08,2.0957617962307285E-5
Larkana,2022-01-08,1.3660073981982793E-5
Lahore,2022-01-09,2.5349332717771883E-5
Karachi,2022-01-09,9.242759646500341E-5
Islamabad,2022-01-09,3.518136769741551E-5
Faisalabad,2022-01-09,3.517075014449915E-5
Rawalpindi,2022-01-09,4.577588258802508E-5
Multan,2022-01-09,2.705455363777679E-5
Peshawar,2022-01-09,3.2474349580318836E-5
Gujranwala,2022-01-09,2.6812096272109967E-5
Quetta,2022-01-09,1.536882808341531E-5
Sialkot,2022-01-09,1.703222159151782E-5
Hyderabad,2022-01-09,2.4411809063919702E-5
Bahawalpur,2022-01-09,2.2610208890162958E-5
Sargodha,2022-01-09,
Sukkur,2022-01-09,2.6641548715500372E-5
Larkana,2022-01-09,2.0588647097433736E-5
Lahore,2022-01-10,
Karachi,2022-01-10,2.764792040915969E-4
Islamabad,2022-01-10,3.7098817884349E-5
Faisalabad,2022-01-10,6.527054311168542E-5
Rawalpindi,2022-01-10,3.165891049618684E-5
Multan,2022-01-10,3.768276867828214E-5
Peshawar,2022-01-10,5.009127031261122E-5
Gujranwala,2022-01-10,2.651669015538271E-5
Quetta,2022-01-10,1.702873391722737E-5
Sialkot,2022-01-10,1.354351583191634E-5
Hyderabad,2022-01-10,3.3362501801108495E-5
Bahawalpur,2022-01-10,2.307797234479845E-5
Sargodha,2022-01-10,2.680118331765617E-5
Sukkur,2022-01-10,2.3428896743085726E-5
Larkana,2022-01-10,1.457616834652943E-5
Lahore,2022-01-11,1.8311014421083652E-4
Karachi,2022-01-11,2.087155662447792E-4
Islamabad,2022-01-11,1.1273099304553637E-4
Faisalabad,2022-01-11,7.165398807222414E-5
Rawalpindi,2022-01-11,1.0595737461820388E-4
Multan,2022-01-11,3.4196743323228615E-5
Peshawar,2022-01-11,3.6884616937321306E-5
Gujranwala,2022-01-11,4.147509096720732E-5
Quetta,2022-01-11,2.3209677746404538E-5
Sialkot,2022-01-11,1.9979008973278747E-5
Hyderabad,2022-01-11,3.262095021897073E-5
Bahawalpur,2022-01-11,1.552079371953154E-5
Sargodha,2022-01-11,3.5454125235133085E-5
Sukkur,2022-01-11,3.024972140357666E-5
Larkana,2022-01-11,2.2759322948608326E-5
Lahore,2022-01-12,3.56097105428277E-4
Karachi,2022-01-12,3.0862242793467076E-4
Islamabad,2022-01-12,1.364919429300894E-4
Faisalabad,2022-01-12,1.161214068673442E-4
Rawalpindi,2022-01-12,1.4212593609978625E-4
Multan,2022-01-12,7.067255081199429E-5
Peshawar,2022-01-12,2.3089979542721203E-5
Gujranwala,2022-01-12,4.0770231539635546E-5
Quetta,2022-01-12,3.7046863090388476E-5
Sialkot,2022-01-12,1.7040053431263184E-5
Hyderabad,2022-01-12,4.3272049578332916E-5
Bahawalpur,2022-01-12,4.7962811446094074E-5
Sargodha,2022-01-12,2.2967380285200278E-5
Sukkur,2022-01-12,2.4880583558740988E-5
