city,date,temp_c,wind_ms,precip_mm
Lahore,2025-01-01,9.600907627829315,1.2809775639204526,0.04199849479734723
Karachi,2025-01-01,19.828813461444383,3.368879054838845,0.0
Islamabad,2025-01-01,11.231660742203076,1.5073662200146216,0.1893935034874127
Faisalabad,2025-01-01,10.64208680475764,1.282300673283939,0.027313420483466085
Rawalpindi,2025-01-01,11.090067716587725,1.5463910012799285,0.17488178531949516
Multan,2025-01-01,11.992189479528804,0.7092603423128867,0.003193797475251384
Peshawar,2025-01-01,11.607625689977567,1.3561931614033682,0.14569525953421048
Gujranwala,2025-01-01,10.363428245992793,1.4657111951732475,0.04009125964932775
Quetta,2025-01-01,9.658908297528228,1.0918559290446548,0.4469097370897765
Sialkot,2025-01-01,10.56832597903707,1.3122216559974054,0.009558177063341654
Hyderabad,2025-01-01,16.922493281011555,3.431454771589848,0.0
Bahawalpur,2025-01-01,12.270689320640827,1.3635005197798211,1.3923906148409786E-4
Sargodha,2025-01-01,10.940161254853138,1.6428816912004958,0.0029932187796412623
Sukkur,2025-01-01,15.652038838392286,2.1123699057361587,0.0
Larkana,2025-01-01,15.76054929890347,1.50665664273391,0.0
Lahore,2025-01-02,11.337940087174559,1.1965311601845035,0.003586246649269468
Karachi,2025-01-02,19.55261180016305,2.0280611179495596,0.0
Islamabad,2025-01-02,12.075159114185738,2.1041745760391706,0.5015759223003677
Faisalabad,2025-01-02,11.612656228017045,1.0791911174779945,4.0989364297013865E-4
Rawalpindi,2025-01-02,12.018496317038057,1.8331116187060996,0.12108273174795409
Multan,2025-01-02,13.228525260002414,0.8198917199744795,1.0134564146394567E-5
Peshawar,2025-01-02,11.892727539914858,1.8166298520342508,0.29701142139561215
Gujranwala,2025-01-02,11.593621865716216,1.3778105712844826,0.0
Quetta,2025-01-02,8.441160589346737,0.9294814458084395,0.41453014024635376
Sialkot,2025-01-02,11.713804451864917,1.3276049430665964,0.0
Hyderabad,2025-01-02,17.127572432018496,3.219101931980573,0.0
