city,date,pm25
Lahore,2026-01-01,112.12593857378988
Karachi,2026-01-01,42.58082232110584
Islamabad,2026-01-01,61.81513155103228
Faisalabad,2026-01-01,129.6365440977682
Rawalpindi,2026-01-01,62.59990519603368
Multan,2026-01-01,91.21517686862065
Peshawar,2026-01-01,35.683149772018176
Gujranwala,2026-01-01,88.48277973505033
Quetta,2026-01-01,10.515096226687751
Sialkot,2026-01-01,100.30866788125157
Hyderabad,2026-01-01,48.19801381792888
Bahawalpur,2026-01-01,86.68366015649657
Sargodha,2026-01-01,125.6918308541556
Sukkur,2026-01-01,63.70433374914015
Larkana,2026-01-01,79.53014067898621
Lahore,2026-01-02,135.3684653222289
Karachi,2026-01-02,41.01619695166921
Islamabad,2026-01-02,53.19838620704402
Faisalabad,2026-01-02,161.04321623253364
Rawalpindi,2026-01-02,54.124508273937806
Multan,2026-01-02,120.69887628077868
Peshawar,2026-01-02,34.27573914693837
Gujranwala,2026-01-02,97.63622289404377
Quetta,2026-01-02,15.546343706626761
Sialkot,2026-01-02,103.1176706893867
Hyderabad,2026-01-02,41.83264040437989
Bahawalpur,2026-01-02,112.27467423349142
Sargodha,2026-01-02,103.91180592906635
Sukkur,2026-01-02,59.21771564751794
Larkana,2026-01-02,85.18013385362816
Lahore,2026-01-03,144.32384498513392
Karachi,2026-01-03,42.28190609600037
Islamabad,2026-01-03,66.98647576326589
Faisalabad,2026-01-03,141.61835410347453
Rawalpindi,2026-01-03,68.22321653641797
Multan,2026-01-03,152.22324840795108
Peshawar,2026-01-03,31.23140104680881
Gujranwala,2026-01-03,106.40472563340076
Quetta,2026-01-03,16.624003690865187
Sialkot,2026-01-03,139.68667635371662
Hyderabad,2026-01-03,44.04185834389975
Bahawalpur,2026-01-03,98.81777232715038
Sargodha,2026-01-03,76.02463379058486
Sukkur,2026-01-03,77.2863648713425
Larkana,2026-01-03,92.94626256825863
Lahore,2026-01-04,173.0117590693
Karachi,2026-01-04,48.697782575665926
Islamabad,2026-01-04,73.6117893648307
Faisalabad,2026-01-04,215.32807728327987
Rawalpindi,2026-01-04,75.97582926560608
Multan,2026-01-04,163.3825594516904
