city,date,no2
Lahore,2026-01-01,
Karachi,2026-01-01,1.1688474245645081E-4
Islamabad,2026-01-01,
Faisalabad,2026-01-01,
Rawalpindi,2026-01-01,
Multan,2026-01-01,3.905051183811915E-5
Peshawar,2026-01-01,3.959576797898873E-5
Gujranwala,2026-01-01,
Quetta,2026-01-01,2.3142758084907555E-5
Sialkot,2026-01-01,
Hyderabad,2026-01-01,3.186331849307714E-5
Bahawalpur,2026-01-01,3.821700328254876E-5
Sargodha,2026-01-01,5.709654786585065E-5
Sukkur,2026-01-01,4.282913748549695E-5
Larkana,2026-01-01,2.810573481279663E-5
Lahore,2026-01-02,9.120909582698289E-5
Karachi,2026-01-02,1.1410610417506588E-4
Islamabad,2026-01-02,8.511459397149261E-5
Faisalabad,2026-01-02,5.531596447698387E-5
Rawalpindi,2026-01-02,7.022661391910136E-5
Multan,2026-01-02,6.16602221529059E-5
Peshawar,2026-01-02,3.446381920409511E-5
Gujranwala,2026-01-02,4.116962475849166E-5
Quetta,2026-01-02,2.9164410888845653E-5
Sialkot,2026-01-02,5.118818200968122E-5
Hyderabad,2026-01-02,4.1468859108267893E-5
Bahawalpur,2026-01-02,3.260654910858999E-5
Sargodha,2026-01-02,3.3989721612239624E-5
Sukkur,2026-01-02,4.2254400944229585E-5
Larkana,2026-01-02,3.283377662017418E-5
Lahore,2026-01-03,1.3910940794517983E-4
Karachi,2026-01-03,1.9036491346908764E-4
Islamabad,2026-01-03,1.52139891610575E-4
Faisalabad,2026-01-03,
Rawalpindi,2026-01-03,1.5277467265461996E-4
Multan,2026-01-03,4.579583457525549E-5
Peshawar,2026-01-03,7.614267848761424E-5
Gujranwala,2026-01-03,
Quetta,2026-01-03,3.2399694641181055E-5
Sialkot,2026-01-03,
Hyderabad,2026-01-03,4.136063672427177E-5
Bahawalpur,2026-01-03,3.343633156519737E-5
Sargodha,2026-01-03,4.881395138901248E-5
Sukkur,2026-01-03,3.3926388381849644E-5
Larkana,2026-01-03,2.968071958681218E-5
Lahore,2026-01-04,
Karachi,2026-01-04,1.4894673812926177E-4
Islamabad,2026-01-04,4.9627956470945304E-5
Faisalabad,2026-01-04,
Rawalpindi,2026-01-04,
Multan,2026-01-04,4.4466745332070765E-5
Peshawar,2026-01-04,7.823040055121039E-5
Gujranwala,2026-01-04,
Quetta,2026-01-04,2.8091579419993663E-5
Sialkot,2026-01-04,
Hyderabad,2026-01-04,4.7175689967775576E-5
Bahawalpur,2026-01-04,3.138133789766031E-5
Sargodha,2026-01-04,
Sukkur,2026-01-04,5.0703650510056255E-5
Larkana,2026-01-04,3.5120398515931696E-5
Lahore,2026-01-05,
Karachi,2026-01-05,1.3498352179139138E-4
Islamabad,2026-01-05,7.89943690348148E-5
Faisalabad,2026-01-05,
Rawalpindi,2026-01-05,7.382184089301646E-5
Multan,2026-01-05,
Peshawar,2026-01-05,7.157744201459209E-5
Gujranwala,2026-01-05,
Quetta,2026-01-05,2.138701428028204E-5
Sialkot,2026-01-05,
Hyderabad,2026-01-05,4.07841008683805E-5
Bahawalpur,2026-01-05,4.0975603582068725E-5
Sargodha,2026-01-05,
Sukkur,2026-01-05,4.295847236870589E-5
Larkana,2026-01-05,3.6077354358770944E-5
Lahore,2026-01-06,1.0596321178509601E-4
Karachi,2026-01-06,1.1795130822464167E-4
Islamabad,2026-01-06,1.3377740238630813E-4
Faisalabad,2026-01-06,3.359782325036428E-5
Rawalpindi,2026-01-06,1.1420085500737013E-4
Multan,2026-01-06,
Peshawar,2026-01-06,7.092537894136787E-5
Gujranwala,2026-01-06,5.49059286455085E-5
Quetta,2026-01-06,3.605646784536059E-5
Sialkot,2026-01-06,4.141124432636168E-5
Hyderabad,2026-01-06,4.323358687508186E-5
Bahawalpur,2026-01-06,2.213107666358747E-5
Sargodha,2026-01-06,4.142794796361232E-5
Sukkur,2026-01-06,5.02143136794238E-5
Larkana,2026-01-06,3.806582993244958E-5
Lahore,2026-01-07,7.639348005247481E-5
Karachi,2026-01-07,1.078589990629409E-4
Islamabad,2026-01-07,1.4309540431168457E-4
Faisalabad,2026-01-07,1.0598569982601434E-4
Rawalpindi,2026-01-07,1.0571872908939952E-4
Multan,2026-01-07,1.2205081749256878E-4
Peshawar,2026-01-07,9.311512658426621E-5
Gujranwala,2026-01-07,5.840662594973399E-5
Quetta,2026-01-07,3.682886480611256E-5
Sialkot,2026-01-07,4.5892025561109165E-5
Hyderabad,2026-01-07,4.110778741342248E-5
Bahawalpur,2026-01-07,3.881549056878683E-5
Sargodha,2026-01-07,4.598411160665769E-5
Sukkur,2026-01-07,4.903125140081332E-5
Larkana,2026-01-07,3.3592122586245076E-5
Lahore,2026-01-08,
Karachi,2026-01-08,8.041433246944825E-5
Islamabad,2026-01-08,1.8317481275588994E-4
Faisalabad,2026-01-08,
Rawalpindi,2026-01-08,1.699833346984812E-4
Multan,2026-01-08,9.199357246301646E-5
Peshawar,2026-01-08,6.0341522921183904E-5
Gujranwala,2026-01-08,
Quetta,2026-01-08,3.213050305366319E-5
Sialkot,2026-01-08,
Hyderabad,2026-01-08,3.9484815206055604E-5
Bahawalpur,2026-01-08,2.3789177118761063E-5
Sargodha,2026-01-08,
Sukkur,2026-01-08,6.1006142459459734E-5
Larkana,2026-01-08,
Lahore,2026-01-09,1.3886479623951556E-4
Karachi,2026-01-09,1.5763215437882848E-4
Islamabad,2026-01-09,1.4810589534260577E-4
Faisalabad,2026-01-09,
Rawalpindi,2026-01-09,1.2760892060979727E-4
Multan,2026-01-09,
Peshawar,2026-01-09,1.1359009675897627E-4
Gujranwala,2026-01-09,8.6314112157146E-5
Quetta,2026-01-09,2.5470088325920523E-5
Sialkot,2026-01-09,4.728740613951297E-5
Hyderabad,2026-01-09,3.4856050072003394E-5
Bahawalpur,2026-01-09,
Sargodha,2026-01-09,
Sukkur,2026-01-09,4.024277900922666E-5
Larkana,2026-01-09,2.7732457470112886E-5
Lahore,2026-01-10,
Karachi,2026-01-10,1.288328812310287E-4
Islamabad,2026-01-10,1.259319408288315E-4
Faisalabad,2026-01-10,4.661870738989731E-5
Rawalpindi,2026-01-10,1.1919796488922716E-4
Multan,2026-01-10,6.819847231565839E-5
Peshawar,2026-01-10,6.312144723590321E-5
Gujranwala,2026-01-10,
Quetta,2026-01-10,2.9370014158486353E-5
Sialkot,2026-01-10,3.583398527413925E-5
Hyderabad,2026-01-10,3.195067067584742E-5
Bahawalpur,2026-01-10,3.634712824606E-5
Sargodha,2026-01-10,5.330932145662377E-5
Sukkur,2026-01-10,3.075828454235782E-5
Larkana,2026-01-10,
Lahore,2026-01-11,1.3234423314000625E-4
Karachi,2026-01-11,1.125963144615455E-4
Islamabad,2026-01-11,1.527482011338331E-4
Faisalabad,2026-01-11,7.126733356730726E-5
Rawalpindi,2026-01-11,1.7564779624250126E-4
Multan,2026-01-11,6.545009073980471E-5
Peshawar,2026-01-11,8.137251311648877E-5
Gujranwala,2026-01-11,5.621578148376963E-5
Quetta,2026-01-11,
Sialkot,2026-01-11,4.7887482568018664E-5
Hyderabad,2026-01-11,3.3114904739931826E-5
