city,date,no2
Lahore,2025-01-01,
Karachi,2025-01-01,1.7970451816894635E-4
Islamabad,2025-01-01,
Faisalabad,2025-01-01,
Rawalpindi,2025-01-01,1.443160848600042E-4
Multan,2025-01-01,
Peshawar,2025-01-01,
Gujranwala,2025-01-01,5.472331902237544E-5
Quetta,2025-01-01,4.777101840068297E-6
Sialkot,2025-01-01,6.328809858808982E-5
Hyderabad,2025-01-01,4.090754361374509E-5
Bahawalpur,2025-01-01,1.498486329692995E-5
Sargodha,2025-01-01,
Sukkur,2025-01-01,5.40184438119029E-5
Larkana,2025-01-01,3.2985725419196145E-5
Lahore,2025-01-02,
Karachi,2025-01-02,1.7405600509132346E-4
Islamabad,2025-01-02,1.1107742825938507E-4
Faisalabad,2025-01-02,
Rawalpindi,2025-01-02,1.463079100891979E-4
Multan,2025-01-02,3.2324879523839404E-5
Peshawar,2025-01-02,
Gujranwala,2025-01-02,
Quetta,2025-01-02,
Sialkot,2025-01-02,
Hyderabad,2025-01-02,4.494382080075774E-5
Bahawalpur,2025-01-02,3.326920962255419E-5
Sargodha,2025-01-02,3.0290918052623664E-5
Sukkur,2025-01-02,3.291731322960012E-5
Larkana,2025-01-02,2.7812189109778158E-5
Lahore,2025-01-03,2.516175094319862E-4
Karachi,2025-01-03,2.0600720780480458E-4
Islamabad,2025-01-03,1.089967193318483E-4
Faisalabad,2025-01-03,1.5143175079946434E-4
Rawalpindi,2025-01-03,1.4882632876287862E-4
Multan,2025-01-03,5.4645017367555523E-5
Peshawar,2025-01-03,3.5440180759367685E-5
Gujranwala,2025-01-03,9.585158986333597E-5
Quetta,2025-01-03,2.6464580672719434E-5
Sialkot,2025-01-03,5.97373599474764E-5
Hyderabad,2025-01-03,3.430258775497509E-5
Bahawalpur,2025-01-03,2.9380242725020838E-5
Sargodha,2025-01-03,3.659519592550003E-5
Sukkur,2025-01-03,3.503927642552575E-5
Larkana,2025-01-03,2.5771034337666765E-5
Lahore,2025-01-04,1.9091327643652834E-4
Karachi,2025-01-04,9.700220602351772E-5
Islamabad,2025-01-04,7.292817359807196E-5
Faisalabad,2025-01-04,1.7490172380018465E-4
Rawalpindi,2025-01-04,6.236501125513271E-5
Multan,2025-01-04,4.974120323115133E-5
Peshawar,2025-01-04,2.1878055060355E-5
Gujranwala,2025-01-04,6.360597340706785E-5
Quetta,2025-01-04,1.6624151264095435E-5
Sialkot,2025-01-04,4.943656769492893E-5
Hyderabad,2025-01-04,4.203307552531508E-5
Bahawalpur,2025-01-04,3.762614257086956E-5
Sargodha,2025-01-04,6.11970577734725E-5
Sukkur,2025-01-04,3.436572593658127E-5
Larkana,2025-01-04,3.278246916780119E-5
Lahore,2025-01-05,
Karachi,2025-01-05,1.3093768215609585E-4
Islamabad,2025-01-05,8.702623379688553E-5
Faisalabad,2025-01-05,1.2416983486692398E-4
Rawalpindi,2025-01-05,8.402059689803045E-5
Multan,2025-01-05,3.729640681640197E-5
Peshawar,2025-01-05,3.582146198752912E-5
Gujranwala,2025-01-05,
Quetta,2025-01-05,1.7850904679080015E-5
Sialkot,2025-01-05,4.0599924589911796E-5
Hyderabad,2025-01-05,4.8803465653666654E-5
Bahawalpur,2025-01-05,3.9054710897331734E-5
Sargodha,2025-01-05,3.824315804163658E-5
Sukkur,2025-01-05,4.550361320522075E-5
Larkana,2025-01-05,3.589369549505087E-5
Lahore,2025-01-06,
Karachi,2025-01-06,1.1232939121017347E-4
Islamabad,2025-01-06,5.594875347598025E-5
Faisalabad,2025-01-06,
Rawalpindi,2025-01-06,4.899089447545017E-5
Multan,2025-01-06,5.2531778527788686E-5
Peshawar,2025-01-06,4.445835499019696E-5
Gujranwala,2025-01-06,
Quetta,2025-01-06,2.5213653468183276E-5
Sialkot,2025-01-06,1.4472513092181647E-5
Hyderabad,2025-01-06,4.456736603014931E-5
Bahawalpur,2025-01-06,5.403481723945794E-5
Sargodha,2025-01-06,5.3214607982024455E-5
Sukkur,2025-01-06,4.241349520183287E-5
Larkana,2025-01-06,3.780543747417116E-5
Lahore,2025-01-07,1.3022221311675004E-4
Karachi,2025-01-07,1.25533302570311E-4
Islamabad,2025-01-07,9.47152063724754E-5
Faisalabad,2025-01-07,6.215951319217533E-5
Rawalpindi,2025-01-07,9.24558918800918E-5
Multan,2025-01-07,7.551938014348415E-5
Peshawar,2025-01-07,5.839777902525549E-5
Gujranwala,2025-01-07,5.727540794234395E-5
Quetta,2025-01-07,2.409663228597377E-5
Sialkot,2025-01-07,5.266782808637499E-5
Hyderabad,2025-01-07,4.099639820213254E-5
Bahawalpur,2025-01-07,4.80555588553793E-5
Sargodha,2025-01-07,5.083625286994387E-5
Sukkur,2025-01-07,3.867727195543747E-5
Larkana,2025-01-07,3.226345073197701E-5
Lahore,2025-01-08,1.769038597186831E-4
Karachi,2025-01-08,2.596820763767254E-4
Islamabad,2025-01-08,9.194946028904879E-5
Faisalabad,2025-01-08,6.0860755029756825E-5
Rawalpindi,2025-01-08,1.0259462437669791E-4
Multan,2025-01-08,5.731974765299056E-5
Peshawar,2025-01-08,6.164421414427932E-5
Gujranwala,2025-01-08,8.84841930963414E-5
Quetta,2025-01-08,1.8231112832683486E-5
Sialkot,2025-01-08,6.976934963684991E-5
Hyderabad,2025-01-08,5.507494728991259E-5
Bahawalpur,2025-01-08,3.6661562591333376E-5
Sargodha,2025-01-08,4.9964500283786984E-5
Sukkur,2025-01-08,3.118413390362486E-5
Larkana,2025-01-08,2.5772496082872663E-5
Lahore,2025-01-09,2.0063492101376373E-4
Karachi,2025-01-09,1.4742176394442504E-4
Islamabad,2025-01-09,1.2144116762442141E-4
Faisalabad,2025-01-09,1.4760071864460485E-4
Rawalpindi,2025-01-09,1.2508291458433995E-4
Multan,2025-01-09,6.293282251608846E-5
Peshawar,2025-01-09,7.650145476819872E-5
Gujranwala,2025-01-09,5.7861038191083834E-5
Quetta,2025-01-09,2.569615059263739E-5
Sialkot,2025-01-09,3.435338678741652E-5
Hyderabad,2025-01-09,5.8248055971402625E-5
Bahawalpur,2025-01-09,4.230108024257369E-5
Sargodha,2025-01-09,5.268112062702549E-5
Sukkur,2025-01-09,4.30010630489894E-5
Larkana,2025-01-09,3.0297439649648777E-5
Lahore,2025-01-10,2.2237116381336336E-4
Karachi,2025-01-10,
Islamabad,2025-01-10,1.3513186267945533E-4
Faisalabad,2025-01-10,1.5555026167618418E-4
Rawalpindi,2025-01-10,1.3367314993424526E-4
Multan,2025-01-10,9.137500909470239E-5
Peshawar,2025-01-10,4.928453241441468E-5
Gujranwala,2025-01-10,
Quetta,2025-01-10,8.767820210016077E-6
Sialkot,2025-01-10,
Hyderabad,2025-01-10,2.1216772994648604E-5
Bahawalpur,2025-01-10,3.178902136902716E-5
Sargodha,2025-01-10,5.1808285159088484E-5
Sukkur,2025-01-10,4.191343755199909E-5
Larkana,2025-01-10,3.492643219119947E-5
Lahore,2025-01-11,
Karachi,2025-01-11,1.1574120835911157E-4
Islamabad,2025-01-11,7.572144286083422E-5
Faisalabad,2025-01-11,
Rawalpindi,2025-01-11,6.98829474924408E-5
Multan,2025-01-11,
Peshawar,2025-01-11,9.105429780314122E-5
Gujranwala,2025-01-11,
Quetta,2025-01-11,1.7544601422609177E-5
Sialkot,2025-01-11,
Hyderabad,2025-01-11,3.327288749376089E-5
Bahawalpur,2025-01-11,
Sargodha,2025-01-11,
Sukkur,2025-01-11,3.2341594920697714E-5
Larkana,2025-01-11,2.596941247581579E-5
Lahore,2025-01-12,4.499969632666925E-5
Karachi,2025-01-12,9.519688427067509E-5
Islamabad,2025-01-12,9.77587476274343E-5
Faisalabad,2025-01-12,7.048037726501132E-5
Rawalpindi,2025-01-12,9.26061093281217E-5
Multan,2025-01-12,
Peshawar,2025-01-12,5.16085460116953E-5
Gujranwala,2025-01-12,3.646728358427018E-5
Quetta,2025-01-12,2.0452779030568244E-5
Sialkot,2025-01-12,2.510599677826398E-5
Hyderabad,2025-01-12,3.525764556004008E-5
Bahawalpur,2025-01-12,
Sargodha,2025-01-12,2.2073266713841466E-5
Sukkur,2025-01-12,4.059191294249177E-5
Larkana,2025-01-12,4.294599449571529E-5
Lahore,2025-01-13,7.778560362945004E-5
Karachi,2025-01-13,7.951796349361211E-5
Islamabad,2025-01-13,9.806702762948954E-5
Faisalabad,2025-01-13,5.3662783975317006E-5
Rawalpindi,2025-01-13,9.62101583072594E-5
Multan,2025-01-13,4.996180425883044E-5
Peshawar,2025-01-13,6.53672927898337E-5
Gujranwala,2025-01-13,3.829455403237152E-5
Quetta,2025-01-13,1.760592860494546E-5
Sialkot,2025-01-13,3.495846562644435E-5
Hyderabad,2025-01-13,3.07198322018813E-5
Bahawalpur,2025-01-13,4.675733063284443E-5
Sargodha,2025-01-13,3.194046770261998E-5
Sukkur,2025-01-13,2.7007689633474612E-5
Larkana,2025-01-13,2.3012162783643342E-5
Lahore,2025-01-14,1.3958175455396453E-4
Karachi,2025-01-14,1.2313938207191493E-4
Islamabad,2025-01-14,9.116840907492753E-5
Faisalabad,2025-01-14,4.930178337690461E-5
Rawalpindi,2025-01-14,1.4013513609452681E-4
Multan,2025-01-14,3.5222444761133775E-5
Peshawar,2025-01-14,2.6328956678615653E-5
Gujranwala,2025-01-14,5.587858117751958E-5
Quetta,2025-01-14,1.437181541435551E-5
Sialkot,2025-01-14,4.206534417271385E-5
Hyderabad,2025-01-14,3.6047206354545595E-5
Bahawalpur,2025-01-14,2.4179715783055193E-5
Sargodha,2025-01-14,3.594544642491965E-5
Sukkur,2025-01-14,4.0905731202161044E-5
Larkana,2025-01-14,2.6725932615700083E-5
Lahore,2025-01-15,1.7299122346887342E-4
Karachi,2025-01-15,8.75282869066687E-5
Islamabad,2025-01-15,1.8541668418361193E-4
Faisalabad,2025-01-15,7.259897657182299E-5
Rawalpindi,2025-01-15,2.016540300786045E-4
Multan,2025-01-15,7.207242290972429E-5
Peshawar,2025-01-15,7.147918258701675E-5
Gujranwala,2025-01-15,6.502505344644418E-5
Quetta,2025-01-15,5.987713305253973E-6
Sialkot,2025-01-15,4.55342533897051E-5
Hyderabad,2025-01-15,3.5465841141314587E-5
Bahawalpur,2025-01-15,3.467626739490625E-5
Sargodha,2025-01-15,4.424807261074945E-5
Sukkur,2025-01-15,3.865864969748036E-5
Larkana,2025-01-15,2.4718964173947157E-5
Lahore,2025-01-16,
Karachi,2025-01-16,1.6442388021690966E-4
Islamabad,2025-01-16,1.1171695168312538E-4
Faisalabad,2025-01-16,5.656361690485663E-5
Rawalpindi,2025-01-16,8.92689152507197E-5
Multan,2025-01-16,3.967357609753923E-5
Peshawar,2025-01-16,4.980132756119246E-5
Gujranwala,2025-01-16,
Quetta,2025-01-16,1.0392140923704128E-5
Sialkot,2025-01-16,3.8049164992266026E-5
Hyderabad,2025-01-16,3.691676672822578E-5
Bahawalpur,2025-01-16,2.5708178690911574E-5
Sargodha,2025-01-16,4.5154036784715825E-5
Sukkur,2025-01-16,2.6144061061778286E-5
Larkana,2025-01-16,1.964016616346099E-5
Lahore,2025-01-17,1.4276300763342917E-4
Karachi,2025-01-17,5.2631410732132575E-5
Islamabad,2025-01-17,
Faisalabad,2025-01-17,4.037193345547223E-5
Rawalpindi,2025-01-17,
Multan,2025-01-17,
Peshawar,2025-01-17,3.761531754757341E-5
Gujranwala,2025-01-17,3.26720150517303E-5
Quetta,2025-01-17,-3.6566555921458196E-6
Sialkot,2025-01-17,2.9570370837913054E-5
Hyderabad,2025-01-17,2.554416732091194E-5
Bahawalpur,2025-01-17,
Sargodha,2025-01-17,3.753832418324842E-5
Sukkur,2025-01-17,3.530410331972237E-5
Larkana,2025-01-17,2.9004427950026435E-5
Lahore,2025-01-18,
Karachi,2025-01-18,7.537167549325293E-5
Islamabad,2025-01-18,1.0856713802864177E-4
Faisalabad,2025-01-18,1.0783143265912088E-4
Rawalpindi,2025-01-18,1.0662445400138908E-4
Multan,2025-01-18,5.1752869464846056E-5
Peshawar,2025-01-18,6.623443068827366E-5
Gujranwala,2025-01-18,
Quetta,2025-01-18,1.2985082960080654E-6
Sialkot,2025-01-18,
Hyderabad,2025-01-18,1.883270528989022E-5
Bahawalpur,2025-01-18,2.4056620087627077E-5
Sargodha,2025-01-18,5.683606163493916E-5
Sukkur,2025-01-18,1.6281778088688927E-5
Larkana,2025-01-18,1.5415911744479666E-5
Lahore,2025-01-19,6.314828036410608E-5
Karachi,2025-01-19,1.0331800928178322E-4
Islamabad,2025-01-19,
Faisalabad,2025-01-19,1.5033417161871445E-4
Rawalpindi,2025-01-19,
Multan,2025-01-19,5.7274797099105844E-5
Peshawar,2025-01-19,6.286267286936774E-5
Gujranwala,2025-01-19,4.382906195537094E-5
Quetta,2025-01-19,6.695339517960427E-6
Sialkot,2025-01-19,4.245645690668702E-5
Hyderabad,2025-01-19,2.2893933822291902E-5
Bahawalpur,2025-01-19,2.93017375562624E-5
