city,date,pm25
Lahore,2022-01-01,142.75885092486448
Karachi,2022-01-01,47.14461544229866
Islamabad,2022-01-01,79.96871092659019
Faisalabad,2022-01-01,113.74685234736367
Rawalpindi,2022-01-01,80.93443360879621
Multan,2022-01-01,112.62196746088703
Peshawar,2022-01-01,36.440895478939694
Gujranwala,2022-01-01,131.9096838869882
Quetta,2022-01-01,35.31170304819202
Sialkot,2022-01-01,124.69491420147158
Hyderabad,2022-01-01,44.08007765372415
Bahawalpur,2022-01-01,88.7230266282347
Sargodha,2022-01-01,87.4723136696483
Sukkur,2022-01-01,72.14751510084967
Larkana,2022-01-01,73.92701298016652
Lahore,2022-01-02,129.05702598905359
Karachi,2022-01-02,49.79964394704094
Islamabad,2022-01-02,63.09401359878121
Faisalabad,2022-01-02,125.36923458347141
Rawalpindi,2022-01-02,64.13056922479966
Multan,2022-01-02,85.07983595169338
Peshawar,2022-01-02,31.381561438337258
Gujranwala,2022-01-02,102.95818613129718
Quetta,2022-01-02,30.408261717058917
Sialkot,2022-01-02,92.74612175210348
Hyderabad,2022-01-02,46.4350672550694
Bahawalpur,2022-01-02,89.01639161959048
Sargodha,2022-01-02,86.15585777188905
Sukkur,2022-01-02,69.37699536588318
Larkana,2022-01-02,71.95428373822757
Lahore,2022-01-03,110.20327260433614
Karachi,2022-01-03,66.29934539831723
Islamabad,2022-01-03,73.8042200816505
Faisalabad,2022-01-03,117.41135462163865
Rawalpindi,2022-01-03,74.04482053080763
Multan,2022-01-03,69.77433998391226
Peshawar,2022-01-03,34.976424460412645
Gujranwala,2022-01-03,96.3167963163869
Quetta,2022-01-03,37.92205764733385
Sialkot,2022-01-03,93.77381976532205
Hyderabad,2022-01-03,60.93069455554427
Bahawalpur,2022-01-03,77.75342564014265
Sargodha,2022-01-03,77.8947908947865
Sukkur,2022-01-03,67.02421802616456
Larkana,2022-01-03,71.4922160696965
Lahore,2022-01-04,82.11821388883442
Karachi,2022-01-04,73.9475731246732
Islamabad,2022-01-04,45.385568196242836
Faisalabad,2022-01-04,75.68310231511953
Rawalpindi,2022-01-04,47.04722275253712
Multan,2022-01-04,67.26102913697741
Peshawar,2022-01-04,39.13630903055557
Gujranwala,2022-01-04,71.50220428882125
Quetta,2022-01-04,38.918500422369114
Sialkot,2022-01-04,64.60867918543497
Hyderabad,2022-01-04,68.81018239917195
Bahawalpur,2022-01-04,67.14193351881185
Sargodha,2022-01-04,66.6705077166711
Sukkur,2022-01-04,64.04735727809229
Larkana,2022-01-04,70.70503034840031
Lahore,2022-01-05,60.9208146645162
Karachi,2022-01-05,39.400207968016005
Islamabad,2022-01-05,34.709564940991164
Faisalabad,2022-01-05,73.0436836485856
Rawalpindi,2022-01-05,36.26152093440354
Multan,2022-01-05,56.79903429901231
Peshawar,2022-01-05,28.28785204966877
Gujranwala,2022-01-05,54.17278022496643
Quetta,2022-01-05,20.610702968081664
Sialkot,2022-01-05,48.83693000050924
Hyderabad,2022-01-05,49.836109632373635
Bahawalpur,2022-01-05,61.768035654311404
Sargodha,2022-01-05,60.28047840946107
Sukkur,2022-01-05,50.16329797171645
Larkana,2022-01-05,49.033587367778324
Lahore,2022-01-06,58.709784065641564
Karachi,2022-01-06,31.58992682823662
Islamabad,2022-01-06,33.3103882292013
Faisalabad,2022-01-06,55.63630281266377
Rawalpindi,2022-01-06,34.02334250003181
Multan,2022-01-06,31.38027503217878
Peshawar,2022-01-06,22.920032686594517
Gujranwala,2022-01-06,48.756699238370146
Quetta,2022-01-06,9.61167262256242
Sialkot,2022-01-06,41.65186550040337
Hyderabad,2022-01-06,33.26857225594526
Bahawalpur,2022-01-06,35.11239479383234
Sargodha,2022-01-06,42.438069878760246
Sukkur,2022-01-06,29.588697902828706
Larkana,2022-01-06,34.97762358649818
Lahore,2022-01-07,45.674634930814776
Karachi,2022-01-07,22.130701826661436
Islamabad,2022-01-07,29.92292845224973
Faisalabad,2022-01-07,44.40012350943772
Rawalpindi,2022-01-07,31.001931785506986
Multan,2022-01-07,35.5501358933656
Peshawar,2022-01-07,21.785668313789582
Gujranwala,2022-01-07,35.91377157402784
Quetta,2022-01-07,9.357417185934334
Sialkot,2022-01-07,31.14998796564856
Hyderabad,2022-01-07,24.300450027801205
Bahawalpur,2022-01-07,37.0603423180696
Sargodha,2022-01-07,39.73930549869774
Sukkur,2022-01-07,26.339389210512003
Larkana,2022-01-07,21.74332935515086
Lahore,2022-01-08,39.61472213892489
Karachi,2022-01-08,22.75909869111978
Islamabad,2022-01-08,30.090481475803113
Faisalabad,2022-01-08,37.29279066751937
Rawalpindi,2022-01-08,29.933931688183847
Multan,2022-01-08,39.41175777163458
Peshawar,2022-01-08,15.497052208157669
Gujranwala,2022-01-08,39.61087380804676
Quetta,2022-01-08,7.092004118069601
Sialkot,2022-01-08,30.86162046860916
Hyderabad,2022-01-08,29.733853513932164
Bahawalpur,2022-01-08,27.632243760499513
Sargodha,2022-01-08,31.208475621433067
Sukkur,2022-01-08,22.136181139829816
Larkana,2022-01-08,23.548522414405454
Lahore,2022-01-09,86.90999622158259
Karachi,2022-01-09,29.654526910983552
Islamabad,2022-01-09,43.64321579465125
