city,date,temp_c,wind_ms,precip_mm
Lahore,2022-01-01,11.78839765010332,1.0578742513829822,0.0017225741544280027
Karachi,2022-01-01,17.67172598597091,4.809076048969055,0.0017225741544280027
Islamabad,2022-01-01,8.31887313855691,1.4294896078047514,0.37428050336558705
Faisalabad,2022-01-01,11.734632998370785,0.5804472838591611,0.0017225741544280027
Rawalpindi,2022-01-01,8.475081613484122,1.3038875049109622,0.17514142360457075
Multan,2022-01-01,14.06205582189142,0.35738978474210864,0.0017225741544280027
Peshawar,2022-01-01,9.841614698949968,1.0286734992997597,0.1333420905559988
Gujranwala,2022-01-01,11.04167289955177,1.4179378295698415,0.0901467946099161
Quetta,2022-01-01,6.691059224384389,0.5773933464681945,0.7858484696561896
Sialkot,2022-01-01,10.797289083936334,1.3149018326774975,0.29715240166265194
Hyderabad,2022-01-01,15.701080572420551,3.851780891631269,0.0017225741544280027
Bahawalpur,2022-01-01,14.095561522922708,0.2674782881203046,0.0017225741544280027
Sargodha,2022-01-01,12.07630753126233,0.2963599321912911,0.015680146632859146
Sukkur,2022-01-01,14.862527553706855,1.616259286866397,0.0017225741544280027
Larkana,2022-01-01,14.828989936908783,1.439025746019814,0.0017225741544280027
Lahore,2022-01-02,12.275951822849095,2.025296983107739,0.0
Karachi,2022-01-02,18.363101472283347,6.312063216540799,0.0
Islamabad,2022-01-02,9.769745220952473,1.725467812574922,0.0
Faisalabad,2022-01-02,12.489409354125883,1.3993878944839027,0.0
Rawalpindi,2022-01-02,10.176432166780103,1.8222846737388665,0.0
Multan,2022-01-02,14.013439126771289,1.8198056428747014,0.0
Peshawar,2022-01-02,10.309825612047518,1.4150611018719004,0.0
Gujranwala,2022-01-02,12.579514182555158,2.202382870920604,0.0
Quetta,2022-01-02,6.2051527280281675,1.6391174459317348,0.8169004988962356
Sialkot,2022-01-02,12.286975077492798,1.8074686372852344,0.002706331737404201
Hyderabad,2022-01-02,16.375144205405263,4.521948026619131,0.0
Bahawalpur,2022-01-02,14.067093736648815,1.8079207706857094,0.0
Sargodha,2022-01-02,12.458155375766808,1.072708127974469,0.0
Sukkur,2022-01-02,15.242156843604391,2.411531528386403,0.0
Larkana,2022-01-02,15.245177399521083,2.1478087315635843,0.04014680846914604
Lahore,2022-01-03,14.492109570353193,1.6222264825295147,0.0021782890397114008
Karachi,2022-01-03,19.159791468255605,4.92111266617759,0.0016901151980164286
Islamabad,2022-01-03,11.039883827558072,1.675286113054927,2.2836565027428084
Faisalabad,2022-01-03,14.564371527448486,1.2952417631237632,0.31715928638448604
Rawalpindi,2022-01-03,11.438596771429957,1.633763505110685,1.6134259306481333
Multan,2022-01-03,14.984070197780625,1.9092171746021058,0.3004627940370056
Peshawar,2022-01-03,10.523893580943877,1.528647861718108,3.391512974509204
Gujranwala,2022-01-03,14.333665056727568,1.835890078168898,0.005695919976006999
Quetta,2022-01-03,5.383010434383607,2.0153084899454643,8.047407217335294
Sialkot,2022-01-03,13.920060427937585,1.518624182532386,0.09440417197805641
Hyderabad,2022-01-03,16.895981070233404,3.6581297953852876,0.0016901151980164286
Bahawalpur,2022-01-03,14.840247629796352,1.2767645757971038,0.5292695304500487
Sargodha,2022-01-03,14.161822302073801,1.0706193966273776,0.10946897637876689
Sukkur,2022-01-03,16.22914853214985,2.0731035931519446,0.3736969110914844
Larkana,2022-01-03,16.166486928067968,1.7968910148011525,0.73786039724197
Lahore,2022-01-04,13.341300897785004,1.117614393491921,3.254609060960712
Karachi,2022-01-04,18.446829073037293,4.208982671638534,9.218219993850603
Islamabad,2022-01-04,10.221363628535983,2.091123582027785,7.363417942247112
Faisalabad,2022-01-04,14.130447773807077,1.4426242737011685,1.8719034281594509
Rawalpindi,2022-01-04,11.141118333423492,2.210931743416216,4.783991229051536
Multan,2022-01-04,15.162835595142155,1.475046258195913,1.584271322091683
Peshawar,2022-01-04,9.81818929828529,0.7572819005099628,15.716031819121172
