city,date,no2
Lahore,2023-01-01,8.405694476174993E-5
Karachi,2023-01-01,6.866761391114421E-5
Islamabad,2023-01-01,1.7303880823390215E-4
Faisalabad,2023-01-01,9.266478163589562E-5
Rawalpindi,2023-01-01,1.8075557017527613E-4
Multan,2023-01-01,5.135052748588524E-5
Peshawar,2023-01-01,7.494297044590437E-5
Gujranwala,2023-01-01,
Quetta,2023-01-01,9.72375738408053E-6
Sialkot,2023-01-01,
Hyderabad,2023-01-01,4.2573669118474245E-5
Bahawalpur,2023-01-01,2.6795365261442464E-5
Sargodha,2023-01-01,4.01988873861728E-5
Sukkur,2023-01-01,3.043967570838543E-5
Larkana,2023-01-01,2.4857036503632368E-5
Lahore,2023-01-02,2.2404945070650278E-4
Karachi,2023-01-02,1.3152825079782083E-4
Islamabad,2023-01-02,1.8201271380150248E-4
Faisalabad,2023-01-02,1.1764759263986865E-4
Rawalpindi,2023-01-02,2.0506410121553224E-4
Multan,2023-01-02,5.874862209351701E-5
Peshawar,2023-01-02,5.03792681579248E-5
Gujranwala,2023-01-02,4.089548465346055E-5
Quetta,2023-01-02,1.4637569043811194E-5
Sialkot,2023-01-02,5.3159262859005196E-5
Hyderabad,2023-01-02,5.31228856564109E-5
Bahawalpur,2023-01-02,3.493860736674756E-5
Sargodha,2023-01-02,7.205490235100735E-5
Sukkur,2023-01-02,4.4395409781269346E-5
Larkana,2023-01-02,3.434034461646375E-5
Lahore,2023-01-03,2.6150600352592304E-4
Karachi,2023-01-03,9.667675084877373E-5
Islamabad,2023-01-03,1.137455960269107E-4
Faisalabad,2023-01-03,5.7979747612779296E-5
Rawalpindi,2023-01-03,1.254498148825281E-4
Multan,2023-01-03,7.193800022484616E-5
Peshawar,2023-01-03,4.609788304913688E-5
Gujranwala,2023-01-03,7.41603609384341E-5
Quetta,2023-01-03,1.6635995910283704E-5
Sialkot,2023-01-03,
Hyderabad,2023-01-03,4.402011164467483E-5
Bahawalpur,2023-01-03,2.686083219050406E-5
Sargodha,2023-01-03,3.682018233000544E-5
Sukkur,2023-01-03,2.6308856676020303E-5
Larkana,2023-01-03,2.6219775420015653E-5
Lahore,2023-01-04,3.068223795585511E-4
Karachi,2023-01-04,9.582825613118515E-5
Islamabad,2023-01-04,2.357260792779415E-4
Faisalabad,2023-01-04,1.4605309704702728E-4
Rawalpindi,2023-01-04,2.5479199482358005E-4
Multan,2023-01-04,5.0020405512209815E-5
Peshawar,2023-01-04,6.704866915006804E-5
Gujranwala,2023-01-04,1.0117169967267322E-4
Quetta,2023-01-04,2.2437786316575656E-5
Sialkot,2023-01-04,6.206610121004928E-5
Hyderabad,2023-01-04,3.217233617257233E-5
Bahawalpur,2023-01-04,2.5429653743418493E-5
Sargodha,2023-01-04,5.280362763929729E-5
Sukkur,2023-01-04,3.8154761345202656E-5
Larkana,2023-01-04,2.8688490308224584E-5
Lahore,2023-01-05,3.5391546295424585E-4
Karachi,2023-01-05,7.492345478261656E-5
Islamabad,2023-01-05,2.0452754403420002E-4
Faisalabad,2023-01-05,1.1927609418322149E-4
Rawalpindi,2023-01-05,2.0031180383078367E-4
Multan,2023-01-05,4.997139675692689E-5
Peshawar,2023-01-05,7.015142849614537E-5
Gujranwala,2023-01-05,8.796724661238338E-5
Quetta,2023-01-05,1.970499372813524E-5
Sialkot,2023-01-05,5.917842214557122E-5
Hyderabad,2023-01-05,3.464466362056617E-5
Bahawalpur,2023-01-05,3.472548435680142E-5
