city,date,no2
Lahore,2021-01-01,2.455322962066568E-4
Karachi,2021-01-01,1.0649314671805098E-4
Islamabad,2021-01-01,1.7877431238781612E-4
Faisalabad,2021-01-01,1.090120474735352E-4
Rawalpindi,2021-01-01,2.1242298936345749E-4
Multan,2021-01-01,9.225160207310667E-5
Peshawar,2021-01-01,4.842399280878225E-5
Gujranwala,2021-01-01,
Quetta,2021-01-01,2.3059602182416403E-5
Sialkot,2021-01-01,4.9573434886607047E-5
Hyderabad,2021-01-01,2.9967943327865877E-5
Bahawalpur,2021-01-01,5.136098263972323E-5
Sargodha,2021-01-01,9.699850899247859E-5
Sukkur,2021-01-01,3.4584742635257996E-5
Larkana,2021-01-01,2.4230162794575567E-5
Lahore,2021-01-02,
Karachi,2021-01-02,2.450189615946341E-4
Islamabad,2021-01-02,1.256812208096313E-4
Faisalabad,2021-01-02,6.64396693897714E-5
Rawalpindi,2021-01-02,1.582359657929174E-4
Multan,2021-01-02,4.548962034382178E-5
Peshawar,2021-01-02,6.352814232894052E-5
Gujranwala,2021-01-02,5.316399120648578E-5
Quetta,2021-01-02,3.6954600702582354E-5
Sialkot,2021-01-02,5.137628085951843E-5
Hyderabad,2021-01-02,3.155795484653415E-5
Bahawalpur,2021-01-02,6.079612505196194E-5
Sargodha,2021-01-02,4.5730732729686765E-5
Sukkur,2021-01-02,3.728208611292193E-5
Larkana,2021-01-02,3.073469966746741E-5
Lahore,2021-01-03,
Karachi,2021-01-03,1.1168868897532892E-4
Islamabad,2021-01-03,5.1057490200852426E-5
Faisalabad,2021-01-03,5.344783248126049E-5
Rawalpindi,2021-01-03,3.871179042541875E-5
Multan,2021-01-03,3.23992295000863E-5
Peshawar,2021-01-03,4.858425081483929E-5
Gujranwala,2021-01-03,
Quetta,2021-01-03,3.124943129048325E-5
Sialkot,2021-01-03,
Hyderabad,2021-01-03,4.006774120648344E-5
Bahawalpur,2021-01-03,2.899217680746633E-5
Sargodha,2021-01-03,2.9889312456556686E-5
Sukkur,2021-01-03,2.8270943154980045E-5
Larkana,2021-01-03,3.384398800578325E-5
Lahore,2021-01-04,7.408014092565723E-5
Karachi,2021-01-04,1.1938303903024237E-4
Islamabad,2021-01-04,5.5766033698232824E-5
Faisalabad,2021-01-04,
Rawalpindi,2021-01-04,4.9073999806723614E-5
Multan,2021-01-04,
Peshawar,2021-01-04,2.1830892132111518E-5
Gujranwala,2021-01-04,5.1254103739288455E-5
Quetta,2021-01-04,3.423319971106532E-5
Sialkot,2021-01-04,3.5354864342887405E-5
Hyderabad,2021-01-04,3.6584560240647684E-5
Bahawalpur,2021-01-04,
Sargodha,2021-01-04,3.067495146600421E-5
Sukkur,2021-01-04,3.310089036878874E-5
Larkana,2021-01-04,4.252824021272482E-5
Lahore,2021-01-05,5.793686246989239E-5
Karachi,2021-01-05,1.691085989268109E-4
Islamabad,2021-01-05,3.668884171359505E-5
Faisalabad,2021-01-05,
Rawalpindi,2021-01-05,7.128054048722111E-5
Multan,2021-01-05,3.705852529323105E-5
Peshawar,2021-01-05,
Gujranwala,2021-01-05,
Quetta,2021-01-05,1.4456092004234768E-5
Sialkot,2021-01-05,
Hyderabad,2021-01-05,2.89647744041399E-5
Bahawalpur,2021-01-05,2.563841235703456E-5
Sargodha,2021-01-05,
Sukkur,2021-01-05,2.43830190214472E-5
Larkana,2021-01-05,2.534228965412398E-5
Lahore,2021-01-06,
Karachi,2021-01-06,1.9969173125937643E-4
Islamabad,2021-01-06,9.254781685203703E-5
Faisalabad,2021-01-06,
Rawalpindi,2021-01-06,1.1297217559369743E-4
Multan,2021-01-06,
Peshawar,2021-01-06,6.5628206008924E-5
Gujranwala,2021-01-06,2.212870652346011E-5
Quetta,2021-01-06,1.3362071289274345E-5
Sialkot,2021-01-06,2.0449524588241194E-5
Hyderabad,2021-01-06,4.280599422773159E-5
Bahawalpur,2021-01-06,
Sargodha,2021-01-06,3.3083040016329295E-5
Sukkur,2021-01-06,3.294122858394215E-5
Larkana,2021-01-06,2.340444935892424E-5
Lahore,2021-01-07,
Karachi,2021-01-07,1.3764601574550665E-4
Islamabad,2021-01-07,8.089614393803896E-5
Faisalabad,2021-01-07,7.590507580421632E-5
Rawalpindi,2021-01-07,8.30389518236375E-5
Multan,2021-01-07,5.928914688903453E-5
Peshawar,2021-01-07,3.2605950171306284E-5
Gujranwala,2021-01-07,3.7668218283095584E-5
Quetta,2021-01-07,1.2304794159620259E-5
Sialkot,2021-01-07,3.703241098481842E-5
Hyderabad,2021-01-07,2.8197165002055193E-5
Bahawalpur,2021-01-07,3.637917336505263E-5
Sargodha,2021-01-07,3.4311068769396635E-5
Sukkur,2021-01-07,3.380093921707555E-5
Larkana,2021-01-07,2.0119024857959663E-5
Lahore,2021-01-08,1.1498525971242684E-4
Karachi,2021-01-08,9.880270667949135E-5
Islamabad,2021-01-08,1.0790436939445706E-4
Faisalabad,2021-01-08,2.1241401362096592E-5
Rawalpindi,2021-01-08,1.1785095202338752E-4
Multan,2021-01-08,6.82582837786988E-5
Peshawar,2021-01-08,2.2016265408136787E-5
Gujranwala,2021-01-08,3.842001764393436E-5
Quetta,2021-01-08,1.5287224799009476E-5
Sialkot,2021-01-08,
Hyderabad,2021-01-08,2.3505743054339398E-5
Bahawalpur,2021-01-08,
Sargodha,2021-01-08,
Sukkur,2021-01-08,3.073579733451039E-5
Larkana,2021-01-08,2.5971432196679998E-5
Lahore,2021-01-09,4.776117857318757E-5
Karachi,2021-01-09,6.705340050877326E-5
Islamabad,2021-01-09,1.430537108298568E-4
Faisalabad,2021-01-09,7.620596754165947E-5
Rawalpindi,2021-01-09,1.6012534878029726E-4
Multan,2021-01-09,8.625944223112706E-5
Peshawar,2021-01-09,5.7320369054459986E-5
Gujranwala,2021-01-09,2.385098763615579E-5
Quetta,2021-01-09,1.7069869644366602E-5
Sialkot,2021-01-09,
Hyderabad,2021-01-09,3.321669424467454E-5
