city,date,pm25
Bahawalpur,2023-05-02,33.44117160963833
Bahawalpur,2023-05-03,41.748890566850605
Bahawalpur,2023-05-04,39.05104861701148
Bahawalpur,2023-05-05,39.61581285238936
Bahawalpur,2023-05-06,33.782008301841415
Bahawalpur,2023-05-07,34.582889441026055
Bahawalpur,2023-05-08,32.3123430234773
Bahawalpur,2023-05-09,26.752852377853745
Bahawalpur,2023-05-10,28.97118100975149
Bahawalpur,2023-05-11,24.3510012154502
Bahawalpur,2023-05-12,
Bahawalpur,2023-05-13,37.79483392918337
Bahawalpur,2023-05-14,38.34468742525132
Bahawalpur,2023-05-15,35.2046889418034
Bahawalpur,2023-05-16,26.8702020633782
Bahawalpur,2023-05-17,23.33563209333533
Bahawalpur,2023-05-18,29.856845884523864
Bahawalpur,2023-05-19,32.445100828226714
Bahawalpur,2023-05-20,30.823226637721746
Bahawalpur,2023-05-21,19.091064729082063
Bahawalpur,2023-05-22,17.537111318688403
Bahawalpur,2023-05-23,23.445565489055294
Bahawalpur,2023-05-24,37.13769913815668
Bahawalpur,2023-05-25,25.660170877017663
Bahawalpur,2023-05-26,25.21164255142594
Bahawalpur,2023-05-27,32.86504579591565
Bahawalpur,2023-05-28,35.71785711642406
Bahawalpur,2023-05-29,43.63211658642285
Bahawalpur,2023-05-30,44.605076965353874
Bahawalpur,2023-05-31,41.910368508979445
Bahawalpur,2023-06-01,33.571723179193214
Bahawalpur,2023-06-02,29.956723324175982
Bahawalpur,2023-06-03,29.98797654640839
Bahawalpur,2023-06-04,40.82477644828941
Bahawalpur,2023-06-05,37.3541304554692
Bahawalpur,2023-06-06,30.93300904311036
Bahawalpur,2023-06-07,27.204469787989183
Bahawalpur,2023-06-08,27.795470813885004
Bahawalpur,2023-06-09,22.20670047847761
Bahawalpur,2023-06-10,19.67912588440868
Bahawalpur,2023-06-11,19.565870701399035
Bahawalpur,2023-06-12,14.873637432799567
Bahawalpur,2023-06-13,11.018302714660422
Bahawalpur,2023-06-14,12.110974445533884
Bahawalpur,2023-06-15,15.056366819976574
Bahawalpur,2023-06-16,15.639539441281158
Bahawalpur,2023-06-17,17.16603748036505
Bahawalpur,2023-06-18,21.575443653887305
Bahawalpur,2023-06-19,27.611479325173605
Bahawalpur,2023-06-20,23.377012325909163
Bahawalpur,2023-06-21,19.6574951871753
Bahawalpur,2023-06-22,19.022202479845877
Bahawalpur,2023-06-23,17.536374130600052
Bahawalpur,2023-06-24,16.615494757843408
Bahawalpur,2023-06-25,16.12290390085036
Bahawalpur,2023-06-26,17.63672230481461
Bahawalpur,2023-06-27,31.397824784562545
Bahawalpur,2023-06-28,43.255692361299225
Bahawalpur,2023-06-29,46.24379457141004
Bahawalpur,2023-06-30,37.68783685131893
Bahawalpur,2023-07-01,40.42121659608711
Bahawalpur,2023-07-02,45.9370710359508
Bahawalpur,2023-07-03,30.98043066529499
Bahawalpur,2023-07-04,39.52736093992826
Bahawalpur,2023-07-05,35.76523965875822
Bahawalpur,2023-07-06,54.07818193248204
Bahawalpur,2023-07-07,42.17016069674173
Bahawalpur,2023-07-08,28.342254765334477
Bahawalpur,2023-07-09,21.406272310287022
Bahawalpur,2023-07-10,25.503370082446963
Bahawalpur,2023-07-11,34.072122900852264
Bahawalpur,2023-07-12,43.047950981645045
Bahawalpur,2023-07-13,40.02454900842167
Bahawalpur,2023-07-14,42.93680078149009
Bahawalpur,2023-07-15,54.98591448827028
Bahawalpur,2023-07-16,50.83337484279582
Bahawalpur,2023-07-17,45.701487039195854
Bahawalpur,2023-07-18,44.14257404050659
Bahawalpur,2023-07-19,44.21437083124147
Bahawalpur,2023-07-20,40.431974213106514
Bahawalpur,2023-07-21,24.87734995781921
Bahawalpur,2023-07-22,26.03730742123389
Bahawalpur,2023-07-23,32.08521093256422
Bahawalpur,2023-07-24,32.35149748093136
Bahawalpur,2023-07-25,27.191214613253575
Bahawalpur,2023-07-26,13.409420240861891
Bahawalpur,2023-07-27,15.84550091138226
Bahawalpur,2023-07-28,21.895649737757594
Bahawalpur,2023-07-29,31.71907891896808
Bahawalpur,2023-07-30,29.97755288447479
Bahawalpur,2023-07-31,35.95027209257751
Bahawalpur,2023-08-01,37.71884138359383
Bahawalpur,2023-08-02,52.8407753108695
Bahawalpur,2023-08-03,51.51692050731072
Bahawalpur,2023-08-04,48.87476734438678
Bahawalpur,2023-08-05,52.55538226833778
Bahawalpur,2023-08-06,72.19201592079116
Bahawalpur,2023-08-07,96.01431116834648
Bahawalpur,2023-08-08,71.66860171992084
Bahawalpur,2023-08-09,67.71708171982027
Bahawalpur,2023-08-10,61.72813726834647
Bahawalpur,2023-08-11,52.462276300957456
Bahawalpur,2023-08-12,53.524864540577255
Bahawalpur,2023-08-13,90.018239973233
Bahawalpur,2023-08-14,78.111774826084
Bahawalpur,2023-08-15,59.40009373262001
Bahawalpur,2023-08-16,45.665583314757896
Bahawalpur,2023-08-17,54.29286176195092
Bahawalpur,2023-08-18,56.85951975920034
Bahawalpur,2023-08-19,45.2031656550389
Bahawalpur,2023-08-20,46.48889628811048
Bahawalpur,2023-08-21,37.39663867463605
Bahawalpur,2023-08-22,29.770687248742437
Bahawalpur,2023-08-23,52.38339539914705
Bahawalpur,2023-08-24,60.85128489985436
Bahawalpur,2023-08-25,56.54662160736734
Bahawalpur,2023-08-26,49.27114360953056
Bahawalpur,2023-08-27,36.255343616176106
Bahawalpur,2023-08-28,58.200082975190526
Bahawalpur,2023-08-29,56.32542610101154
Bahawalpur,2023-08-30,32.77103033383355
Bahawalpur,2023-08-31,29.37546561554427
Bahawalpur,2023-09-01,27.753177533895723
Bahawalpur,2023-09-02,26.70785370639805
Bahawalpur,2023-09-03,27.942046898488115
Bahawalpur,2023-09-04,27.99405329767524
Bahawalpur,2023-09-05,25.189734742525616
Bahawalpur,2023-09-06,27.571648075763733
Bahawalpur,2023-09-07,34.29915196306865
Bahawalpur,2023-09-08,29.72099366616021
Bahawalpur,2023-09-09,25.887093357823687
Bahawalpur,2023-09-10,23.301577556367192
Bahawalpur,2023-09-11,24.454141822616293
Bahawalpur,2023-09-12,26.477721348783238
Bahawalpur,2023-09-13,31.6110337905684
Bahawalpur,2023-09-14,29.64220158219177
Bahawalpur,2023-09-15,30.252845562017683
Bahawalpur,2023-09-16,30.32739925856731
Bahawalpur,2023-09-17,25.37220034071197
Bahawalpur,2023-09-18,19.672945938964403
Bahawalpur,2023-09-19,16.8692277924265
Bahawalpur,2023-09-20,19.412276230923453
Bahawalpur,2023-09-21,13.450490499167245
Bahawalpur,2023-09-22,16.110325518070567
Bahawalpur,2023-09-23,18.63421417169775
Bahawalpur,2023-09-24,26.473122360926027
Bahawalpur,2023-09-25,27.77012930721412
Bahawalpur,2023-09-26,37.662331919818826
Bahawalpur,2023-09-27,41.92077085463097
Bahawalpur,2023-09-28,39.60457917173699
Bahawalpur,2023-09-29,45.050533969970274
Bahawalpur,2023-09-30,43.62354033560223
Bahawalpur,2023-10-01,43.96127195605004
Bahawalpur,2023-10-02,31.48595340007887
Bahawalpur,2023-10-03,30.70680065775377
Bahawalpur,2023-10-04,34.61363817791607
Bahawalpur,2023-10-05,35.41961390851611
Bahawalpur,2023-10-06,28.665763096569208
Bahawalpur,2023-10-07,32.46762858566399
Bahawalpur,2023-10-08,42.48084195523916
Bahawalpur,2023-10-09,30.761121649902638
Bahawalpur,2023-10-10,50.146510943704925
Bahawalpur,2023-10-11,52.74665326737704
Bahawalpur,2023-10-12,34.21118321966787
Bahawalpur,2023-10-13,18.945629065569847
Bahawalpur,2023-10-14,33.91276592878967
Bahawalpur,2023-10-15,44.90393834544193
Bahawalpur,2023-10-16,41.07035067590914
Bahawalpur,2023-10-17,38.41785201075254
Bahawalpur,2023-10-18,33.271479793484104
Bahawalpur,2023-10-19,32.84996097363546
Bahawalpur,2023-10-20,30.00058157454077
Bahawalpur,2023-10-21,37.07906159888808
Bahawalpur,2023-10-22,40.09539011917696
Bahawalpur,2023-10-23,46.29339755979345
Bahawalpur,2023-10-24,46.74187437103683
Bahawalpur,2023-10-25,42.11823068089871
Bahawalpur,2023-10-26,29.449500615896795
Bahawalpur,2023-10-27,24.49613312194288
Bahawalpur,2023-10-28,37.33144282591638
Bahawalpur,2023-10-29,45.348670596467855
Bahawalpur,2023-10-30,32.23058087087338
Bahawalpur,2023-10-31,34.00605308456761
Bahawalpur,2023-11-01,44.55297641925426
Bahawalpur,2023-11-02,57.50722564812349
Bahawalpur,2023-11-03,69.99786705819133
Bahawalpur,2023-11-04,63.34668967156176
Bahawalpur,2023-11-05,55.743278437603294
Bahawalpur,2023-11-06,50.70600650469714
Bahawalpur,2023-11-07,70.22685366564474
Bahawalpur,2023-11-08,79.70015758473892
Bahawalpur,2023-11-09,66.82717668127225
Bahawalpur,2023-11-10,50.59411023466964
Bahawalpur,2023-11-11,46.64987329761061
Bahawalpur,2023-11-12,37.17626029242638
Bahawalpur,2023-11-13,30.279771578989312
Bahawalpur,2023-11-14,46.89605148655573
Bahawalpur,2023-11-15,54.403049176698914
